img_path,LT_lat,LT_lon,RB_lat,RB_lon,lon,lat,patch_width,patch_height,region_name,friendly-name,e_utm,n_utm,zone_utm,place_id,uav_to_nearest_sat_m,uav_to_second_sat_m,nearest_sats_pair_distance_m
/workspace/repos/datasets/train_thumbnails/Changjiang-23/patch__29_816174391647955__116_05900312088487__29_814972783295907__116_0602047456889__590dcf5e1f8649c69f24e79ece470f75.jpg,29.816174391647955,116.05900312088488,29.814972783295907,116.0602047456889,116.0596039332869,29.81557358747193,448,448,Changjiang-23,visloc-Changjiang-23-satellite,409131.6600881488,3298720.494169182,50R,47,,,
/workspace/repos/datasets/train_thumbnails/Changjiang-23/patch__29_814972783295907__116_05900312088487__29_813771174943863__116_0602047456889__8b5add67a1704fcca2c42e49932da299.jpg,29.814972783295907,116.05900312088488,29.813771174943863,116.0602047456889,116.0596039332869,29.814371979119883,448,448,Changjiang-23,visloc-Changjiang-23-satellite,409130.5733837685,3298587.340832049,50R,73,,,
/workspace/repos/datasets/train_thumbnails/Changjiang-23/patch__29_813771174943863__116_05900312088487__29_812569566591815__116_0602047456889__da05b8a4931440819b5ec093796f64aa.jpg,29.813771174943863,116.05900312088488,29.81256956659181,116.0602047456889,116.0596039332869,29.81317037076784,448,448,Changjiang-23,visloc-Changjiang-23-satellite,409129.48671935097,3298454.187518497,50R,99,,,
/workspace/repos/datasets/train_thumbnails/Changjiang-23/patch__29_812569566591815__116_0541966216687__29_81136795823977__116_05539824647275__7d0b0908e88449a6aba1647d225740fd.jpg,29.81256956659181,116.0541966216687,29.81136795823977,116.05539824647276,116.05479743407072,29.811968762415795,448,448,Changjiang-23,visloc-Changjiang-23-satellite,408663.9208991584,3298324.8343243557,50R,121,,,
/workspace/repos/datasets/train_thumbnails/Changjiang-23/patch__29_812569566591815__116_05659987127679__29_81136795823977__116_05780149608083__dcfd4e08adc146fdad160f72330654f6.jpg,29.81256956659181,116.0565998712768,29.81136795823977,116.05780149608084,116.0572006836788,29.811968762415795,448,448,Changjiang-23,visloc-Changjiang-23-satellite,408896.16053785663,3298322.931853998,50R,123,,,
/workspace/repos/datasets/train_thumbnails/Changjiang-23/patch__29_812569566591815__116_05900312088487__29_81136795823977__116_0602047456889__61dcecff06f3491597f9c506080ad700.jpg,29.81256956659181,116.05900312088488,29.81136795823977,116.0602047456889,116.0596039332869,29.811968762415795,448,448,Changjiang-23,visloc-Changjiang-23-satellite,409128.40009489673,3298321.0342285237,50R,125,,,
/workspace/repos/datasets/train_thumbnails/Changjiang-23/patch__29_81136795823977__116_0541966216687__29_810166349887727__116_05539824647275__6a39b17606a746a3bff4aed8fa885d7e.jpg,29.81136795823977,116.0541966216687,29.810166349887727,116.05539824647276,116.05479743407072,29.810767154063747,448,448,Changjiang-23,visloc-Changjiang-23-satellite,408662.82875919377,3298191.6809643223,50R,147,,,
/workspace/repos/datasets/train_thumbnails/Changjiang-23/patch__29_81136795823977__116_05659987127679__29_810166349887727__116_05780149608083__6614cdf492c64a82b7ff4ad79046dd62.jpg,29.81136795823977,116.0565998712768,29.810166349887727,116.05780149608084,116.0572006836788,29.810767154063747,448,448,Changjiang-23,visloc-Changjiang-23-satellite,408895.0711756325,3298189.778540844,50R,149,,,
/workspace/repos/datasets/train_thumbnails/Changjiang-23/patch__29_81136795823977__116_05900312088487__29_810166349887727__116_0602047456889__d9a4eb50c1c54d888fe01ba699681433.jpg,29.81136795823977,116.05900312088488,29.810166349887727,116.0602047456889,116.0596039332869,29.810767154063747,448,448,Changjiang-23,visloc-Changjiang-23-satellite,409127.3135104062,3298187.88096213,50R,151,,,
/workspace/repos/datasets/train_thumbnails/Changjiang-23/patch__29_810166349887727__116_05059174725658__29_80896474153568__116_05179337206062__72d7862b228f4acdb5ff8f9470adfed4.jpg,29.810166349887727,116.05059174725658,29.80896474153568,116.05179337206062,116.0511925596586,29.809565545711703,448,448,Changjiang-23,visloc-Changjiang-23-satellite,408313.3687146936,3298061.3902764902,50R,170,,,
/workspace/repos/datasets/train_thumbnails/Changjiang-23/patch__29_810166349887727__116_0541966216687__29_80896474153568__116_05539824647275__e0a29b58ff684aa1a5e3d0313d1e8e1a.jpg,29.810166349887727,116.0541966216687,29.80896474153568,116.05539824647276,116.05479743407072,29.809565545711703,448,448,Changjiang-23,visloc-Changjiang-23-satellite,408661.73665939766,3298058.5276278616,50R,173,,,
/workspace/repos/datasets/train_thumbnails/Changjiang-23/patch__29_810166349887727__116_05659987127679__29_80896474153568__116_05780149608083__86203a36c1174be88487423e3f13cd27.jpg,29.810166349887727,116.0565998712768,29.80896474153568,116.05780149608084,116.0572006836788,29.809565545711703,448,448,Changjiang-23,visloc-Changjiang-23-satellite,408893.9818534746,3298056.625251266,50R,175,,,
