img_path,LT_lat,LT_lon,RB_lat,RB_lon,lon,lat,patch_width,patch_height,region_name,friendly-name,e_utm,n_utm,zone_utm,place_id,uav_to_nearest_sat_m,uav_to_second_sat_m,nearest_sats_pair_distance_m
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_013109__38_85049857134241__101_01491149148418__0afafb8e8a154ba2b8f4c9825fdaa327.jpg,38.852301,101.013109,38.85049857134241,101.01491149148418,101.0140102457421,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,674768.6259051196,4302213.768767453,47S,0,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_01491149148418__38_85049857134241__101_01671398296837__82de1ee43b404242a70ff65e5852244a.jpg,38.852301,101.01491149148418,38.85049857134241,101.01671398296835,101.01581273722628,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,674925.0535670754,4302217.221035201,47S,1,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_01671398296837__38_85049857134241__101_01851647445255__45ee151855684a669fa81f776f9dca22.jpg,38.852301,101.01671398296835,38.85049857134241,101.01851647445255,101.01761522871048,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,675081.4812662496,4302220.676394656,47S,2,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_01851647445255__38_85049857134241__101_02031896593674__8a321d49ec7c4f02b3b8d61654a71544.jpg,38.852301,101.01851647445255,38.85049857134241,101.02031896593674,101.01941772019464,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,675237.9090026708,4302224.13484583,47S,3,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_02031896593674__38_85049857134241__101_02212145742092__50547b1525a6451cb5af49021b35db8e.jpg,38.852301,101.02031896593674,38.85049857134241,101.02212145742092,101.02122021167884,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,675394.3367763787,4302227.596388729,47S,4,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_02212145742092__38_85049857134241__101_02392394890511__0991be9fe9954504a48114e432223665.jpg,38.852301,101.02212145742092,38.85049857134241,101.02392394890512,101.023022703163,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,675550.7645873955,4302231.061023364,47S,5,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_02392394890511__38_85049857134241__101_02572644038929__1bd74326a61b49d2ba73acc226710eb2.jpg,38.852301,101.02392394890512,38.85049857134241,101.02572644038928,101.0248251946472,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,675707.1924357653,4302234.5287497435,47S,6,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_02572644038929__38_85049857134241__101_02752893187348__de38ddb7f240444d9773453026790106.jpg,38.852301,101.02572644038928,38.85049857134241,101.02752893187348,101.02662768613138,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,675863.6203215169,4302237.9995678775,47S,7,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_02752893187348__38_85049857134241__101_02933142335766__2ad1a718b82b479a990066d58461df83.jpg,38.852301,101.02752893187348,38.85049857134241,101.02933142335766,101.02843017761558,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,676020.0482446833,4302241.473477773,47S,8,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_02933142335766__38_85049857134241__101_03113391484185__bd1672d1066944a0bcd3791a1533ea47.jpg,38.852301,101.02933142335766,38.85049857134241,101.03113391484185,101.03023266909976,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,676176.4762052977,4302244.950479441,47S,9,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_03113391484185__38_85049857134241__101_03293640632603__0488ccbd99f1468e823a7d5dd8a24fca.jpg,38.852301,101.03113391484185,38.85049857134241,101.03293640632604,101.03203516058394,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,676332.904203391,4302248.430572892,47S,10,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_03293640632603__38_85049857134241__101_03473889781021__3bb18649f5204680ab2471fc0db195de.jpg,38.852301,101.03293640632604,38.85049857134241,101.0347388978102,101.03383765206812,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,676489.3322389986,4302251.913758131,47S,11,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_03473889781021__38_85049857134241__101_0365413892944__840c5f350eb84b08a8dbe242bb4716f6.jpg,38.852301,101.0347388978102,38.85049857134241,101.0365413892944,101.03564014355231,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,676645.7603121557,4302255.40003517,47S,12,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_0365413892944__38_85049857134241__101_03834388077858__69358927fe4c4b1aa8724fcf02efbe17.jpg,38.852301,101.0365413892944,38.85049857134241,101.03834388077858,101.03744263503648,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,676802.1884228911,4302258.8894040175,47S,13,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_03834388077858__38_85049857134241__101_04014637226277__0cb21b890e464fc4a51333de1d25b0e1.jpg,38.852301,101.03834388077858,38.85049857134241,101.04014637226275,101.03924512652068,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,676958.6165712444,4302262.381864685,47S,14,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_04014637226277__38_85049857134241__101_04194886374695__79269eae15a1485ab8919fb4e462ff8d.jpg,38.852301,101.04014637226275,38.85049857134241,101.04194886374697,101.04104761800484,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,677115.044757238,4302265.877417176,47S,15,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_04194886374695__38_85049857134241__101_04375135523114__542d789f99fb4282b60c23d5ccc2e0a0.jpg,38.852301,101.04194886374697,38.85049857134241,101.04375135523114,101.04285010948904,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,677271.4729809158,4302269.376061507,47S,16,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_04375135523114__38_85049857134241__101_04555384671534__b027204c83f74370a356d3f19a2a3f5b.jpg,38.852301,101.04375135523114,38.85049857134241,101.04555384671534,101.04465260097324,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,677427.9012423066,4302272.877797681,47S,17,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_04555384671534__38_85049857134241__101_04735633819952__72d234e6e39c4dd390099b73e8165ee0.jpg,38.852301,101.04555384671534,38.85049857134241,101.04735633819952,101.04645509245742,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,677584.3295414435,4302276.38262571,47S,18,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_04735633819952__38_85049857134241__101_0491588296837__6e1c9450eb4a4f55b61b97a673bcd181.jpg,38.852301,101.04735633819952,38.85049857134241,101.0491588296837,101.04825758394162,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,677740.7578783595,4302279.890545604,47S,19,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_0491588296837__38_85049857134241__101_05096132116789__ffc9315544cb43ebaeb11d4cfe79a28d.jpg,38.852301,101.0491588296837,38.85049857134241,101.05096132116788,101.0500600754258,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,677897.1862530881,4302283.401557371,47S,20,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_05096132116789__38_85049857134241__101_05276381265207__16b8fe8b68654b9797397497001e4313.jpg,38.852301,101.05096132116788,38.85049857134241,101.05276381265207,101.05186256691,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,678053.6146656619,4302286.91566102,47S,21,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_05276381265207__38_85049857134241__101_05456630413626__42125d67f094475dabbca531b91979ce.jpg,38.852301,101.05276381265207,38.85049857134241,101.05456630413626,101.05366505839416,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,678210.0431161099,4302290.43285656,47S,22,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_05456630413626__38_85049857134241__101_05636879562044__9f72eba8d3b24fc396f741bc98831df4.jpg,38.852301,101.05456630413626,38.85049857134241,101.05636879562044,101.05546754987836,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,678366.4716044741,4302293.953144002,47S,23,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_05636879562044__38_85049857134241__101_05817128710463__0b9ea948525d4404baff79f649d43e57.jpg,38.852301,101.05636879562044,38.85049857134241,101.05817128710464,101.05727004136251,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,678522.900130781,4302297.476523355,47S,24,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_05817128710463__38_85049857134241__101_05997377858881__398da98eff894f55bb2fe7ad69b219fc.jpg,38.852301,101.05817128710464,38.85049857134241,101.0599737785888,101.05907253284671,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,678679.3286950679,4302301.002994626,47S,25,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_05997377858881__38_85049857134241__101_061776270073__c8c6230991444a65b46b9467bc3275c9.jpg,38.852301,101.0599737785888,38.85049857134241,101.061776270073,101.0608750243309,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,678835.7572973638,4302304.532557826,47S,26,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_061776270073__38_85049857134241__101_06357876155718__5d0095cb7eba482abcb3e82a9eb6b1b1.jpg,38.852301,101.061776270073,38.85049857134241,101.06357876155718,101.0626775158151,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,678992.185937706,4302308.065212964,47S,27,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_06357876155718__38_85049857134241__101_06538125304137__05ee2aa77cd0448291d7df2aa286a74f.jpg,38.852301,101.06357876155718,38.85049857134241,101.06538125304137,101.06448000729928,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,679148.6146161255,4302311.600960051,47S,28,,,
/workspace/repos/datasets/train_thumbnails/Shandan/patch__38_852301__101_06538125304137__38_85049857134241__101_06718374452555__f127a4d9434040eea9d73101dae59d67.jpg,38.852301,101.06538125304137,38.85049857134241,101.06718374452556,101.06628249878348,38.851399785671205,672,672,Shandan,visloc-Shandan-11-satellite,679305.0433326554,4302315.139799094,47S,29,,,
