img_path,LT_lat,LT_lon,RB_lat,RB_lon,lon,lat,patch_width,patch_height,region_name,friendly-name,e_utm,n_utm,zone_utm,place_id,uav_to_nearest_sat_m,uav_to_second_sat_m,nearest_sats_pair_distance_m
/workspace/repos/datasets/train_thumbnails/Zhuxi/patch__32_373177__109_64597436080177__32_371975324744376__109_64717595644642__7832b2fc9e4d48e58d2f3c4c52cd2308.jpg,32.373177,109.64597436080176,32.371975324744376,109.64717595644642,109.6465751586241,32.372576162372184,448,448,Zhuxi,visloc-Zhuxi-satellite,372676.3425660193,3582539.4276897092,49S,9,,,
/workspace/repos/datasets/train_thumbnails/Zhuxi/patch__32_373177__109_64837755209106__32_371975324744376__109_64957914773571__4a276fe8dc1942659d895617fdd534b6.jpg,32.373177,109.64837755209106,32.371975324744376,109.64957914773572,109.6489783499134,32.372576162372184,448,448,Zhuxi,visloc-Zhuxi-satellite,372902.4412023957,3582536.5700867344,49S,11,,,
/workspace/repos/datasets/train_thumbnails/Zhuxi/patch__32_371975324744376__109_64116797822321__32_370773649488754__109_64236957386785__b38fb686d89d4a84a481de6a9173b6da.jpg,32.371975324744376,109.6411679782232,32.370773649488754,109.64236957386784,109.64176877604552,32.37137448711657,448,448,Zhuxi,visloc-Zhuxi-satellite,372222.45380754967,3582411.9375661127,49S,24,,,
/workspace/repos/datasets/train_thumbnails/Zhuxi/patch__32_371975324744376__109_64236957386785__32_370773649488754__109_6435711695125__3db5e1650cf44611b49326d299ffcde9.jpg,32.371975324744376,109.64236957386784,32.370773649488754,109.6435711695125,109.64297037169018,32.37137448711657,448,448,Zhuxi,visloc-Zhuxi-satellite,372335.50473129185,3582410.5030761585,49S,25,,,
/workspace/repos/datasets/train_thumbnails/Zhuxi/patch__32_371975324744376__109_6435711695125__32_370773649488754__109_64477276515714__559292f9a1594314aae58e10415bca8d.jpg,32.371975324744376,109.6435711695125,32.370773649488754,109.64477276515714,109.6441719673348,32.37137448711657,448,448,Zhuxi,visloc-Zhuxi-satellite,372448.55563088553,3582409.069856612,49S,26,,,
/workspace/repos/datasets/train_thumbnails/Zhuxi/patch__32_371975324744376__109_64477276515714__32_370773649488754__109_64597436080177__e3580438f8ca41acb394ba6ad52eb0fa.jpg,32.371975324744376,109.64477276515714,32.370773649488754,109.64597436080176,109.64537356297946,32.37137448711657,448,448,Zhuxi,visloc-Zhuxi-satellite,372561.60650636395,3582407.63790747,49S,27,,,
/workspace/repos/datasets/train_thumbnails/Zhuxi/patch__32_371975324744376__109_64597436080177__32_370773649488754__109_64717595644642__99391fb87fbe49d0b58f48c70ed60c36.jpg,32.371975324744376,109.64597436080176,32.370773649488754,109.64717595644642,109.6465751586241,32.37137448711657,448,448,Zhuxi,visloc-Zhuxi-satellite,372674.6573577366,3582406.2072287314,49S,28,,,
/workspace/repos/datasets/train_thumbnails/Zhuxi/patch__32_371975324744376__109_64717595644642__32_370773649488754__109_64837755209106__82d4cfc68eda41a8b3802be96040bcb0.jpg,32.371975324744376,109.64717595644642,32.370773649488754,109.64837755209106,109.64777675426872,32.37137448711657,448,448,Zhuxi,visloc-Zhuxi-satellite,372787.70818502957,3582404.777820394,49S,29,,,
/workspace/repos/datasets/train_thumbnails/Zhuxi/patch__32_371975324744376__109_64837755209106__32_370773649488754__109_64957914773571__f70026a44b5141e89005b7763b69a399.jpg,32.371975324744376,109.64837755209106,32.370773649488754,109.64957914773572,109.6489783499134,32.37137448711657,448,448,Zhuxi,visloc-Zhuxi-satellite,372900.75898826914,3582403.349682455,49S,30,,,
/workspace/repos/datasets/train_thumbnails/Zhuxi/patch__32_370773649488754__109_63636159564464__32_369571974233125__109_63756319128929__7ee9c48f880540ec9605ae067f073032.jpg,32.370773649488754,109.63636159564464,32.369571974233125,109.63756319128927,109.63696239346696,32.37017281186094,448,448,Zhuxi,visloc-Zhuxi-satellite,371768.5527421713,3582284.4675652506,49S,39,,,
